,blue1,blue2,bluescore,red1,red2,redscore
47153,4100B,6105C,18,3100A,3100B,11
47154,550G,3131V,17,4100A,550X,16
47155,550B,5245Y,7,5245F,6260A,15
47156,6260X,4100C,9,550Z,550E,21
47157,3131V,5245F,14,74685B,550D,6
47158,3100B,4100A,10,6260X,550A,9
47159,4100B,550Z,18,74685A,550G,3
47160,3100A,550E,19,74685B,550B,16
47161,550X,4100C,6,6105C,5245Y,15
47162,74685A,550D,12,6260A,550C,15
47163,550Z,74685B,11,3100A,5245Y,14
47164,550C,6260X,6,550G,4100C,19
47165,3100B,550X,10,550B,3131V,14
47166,550A,6260A,11,550E,6105C,22
47167,5245F,74685B,1,4100B,4100A,25
47168,550C,550B,7,6105C,550Z,24
47169,5245F,74685A,13,3100B,4100C,8
47170,3100A,550X,28,6260X,550D,6
47171,550G,5245Y,4,4100A,550E,28
47172,550A,6260A,7,4100B,3131V,21
47173,550E,550D,10,5245Y,3100B,9
47174,4100A,6105C,18,74685A,550X,5
47175,4100B,550A,28,74685B,4100C,6
47176,6260X,6260A,7,3131V,550Z,18
47177,550G,3100A,16,5245F,550C,12
47178,4100A,550Z,24,550B,550D,6
47179,74685B,3100B,10,6260A,550G,10
47180,550C,550E,6,550X,4100B,17
47181,6105C,550A,18,6260X,5245F,5
47182,5245Y,3131V,18,3100A,74685A,15
47183,550B,550G,8,550A,4100C,19
47184,550C,3100B,16,3100A,4100A,17
47185,4100B,550B,18,6260X,5245Y,4
47186,4100C,550E,4,550D,3131V,18
47187,550X,550Z,19,6260A,5245F,5
47188,74685A,6260X,9,74685B,6105C,17
47189,550X,550Z,13,3100B,550A,16
47190,6105C,550D,6,4100B,550G,14
47191,5245F,74685A,6,550B,550E,19
47192,6260A,3100A,8,4100C,4100A,27
47193,74685B,5245Y,13,3131V,550C,21
47194,550B,6260X,17,4100C,550X,6
47195,5245F,74685B,12,5245Y,6260A,17
47196,550B,6260X,5,3131V,4100A,36
47197,550A,550C,20,550E,3100A,11
47198,5245Y,6260A,5,4100B,6105C,27
47199,550G,550D,5,550Z,3100B,19
47200,550A,550C,11,3131V,4100A,13
47201,550Z,3100B,19,4100B,6105C,15
47202,550Z,3100B,15,3131V,4100A,0
47203,3686C,3324A,17,97835C,3324V,14
47204,8838E,1680B,18,93535N,8838A,7
47205,97835B,2888D,5,40471A,8838B,16
47206,93535F,8838D,18,68689A,93535A,9
47207,3686A,1680C,11,1680A,27734B,4
47208,40471A,93535N,5,8838C,1680B,28
47209,8838B,93535A,10,3686A,1680C,19
47210,27734B,8838D,7,93535F,2888D,26
47211,8838A,3324V,2,3324A,68689A,29
47212,8838C,97835C,20,97835B,8838E,12
47213,68689A,1680B,11,3686C,1680A,8
47214,2888D,1680C,16,27734B,3324V,16
47215,3686A,93535A,6,8838D,93535N,26
47216,8838C,8838A,6,8838B,93535F,24
47217,8838E,1680A,10,3324A,97835B,18
47218,40471A,68689A,5,3686C,97835C,14
47219,8838B,1680A,15,1680B,2888D,10
47220,93535F,97835C,8,3686A,8838E,11
47221,97835B,27734B,4,8838C,8838D,19
47222,8838A,3324V,21,40471A,93535A,10
47223,3686C,93535N,14,1680C,3324A,17
47224,8838C,3324V,22,93535A,97835C,6
47225,1680B,1680C,6,93535F,8838E,17
47226,1680A,40471A,8,8838A,8838D,17
47227,97835B,93535N,14,27734B,3686C,11
47228,3324A,3686A,20,68689A,2888D,11
47229,93535A,93535N,8,8838B,97835B,20
47230,2888D,1680A,5,8838C,3324V,26
47231,68689A,8838E,21,8838B,40471A,5
47232,8838D,97835C,14,1680C,1680B,7
47233,3686C,27734B,8,8838A,3686A,11
47234,1680C,40471A,4,3324A,93535F,28
47235,68689A,27734B,9,93535A,8838C,19
47236,3324A,93535F,18,93535N,1680A,13
47237,8838B,8838E,17,8838D,3686C,10
47238,3686A,1680B,11,3324V,97835B,11
47239,97835C,93535N,12,8838A,2888D,11
47240,8838B,8838D,20,1680B,3324A,17
47241,3324V,40471A,23,8838E,27734B,5
47242,93535A,8838A,9,1680A,97835C,19
47243,8838C,2888D,15,1680C,3686C,16
47244,93535F,97835B,9,3686A,68689A,22
47245,8838D,1680C,0,93535N,3324V,24
47246,3324A,8838A,21,8838C,3686A,9
47247,8838B,27734B,14,97835C,1680A,10
47248,3686C,93535A,13,2888D,8838E,6
47249,1680B,93535F,20,40471A,97835B,8
47250,1680A,8838C,6,68689A,93535N,22
47251,8838A,97835B,5,3324A,3324V,22
47252,8838E,93535N,10,8838C,8838D,21
47253,1680B,1680C,7,93535F,8838B,25
47254,97835C,3686C,6,3686A,68689A,16
47255,8838C,8838D,8,3324A,3324V,16
47256,3686A,68689A,11,93535F,8838B,12
47257,93535F,8838B,10,3324A,3324V,26
47258,3885A,3885D,22,69686C,9601A,3
47259,69686B,6042C,8,6042A,3885B,15
47260,99766C,3885C,25,69686F,9601C,2
47261,6042D,99766D,10,46535K,14144A,17
47262,6042B,99766A,16,14144B,69686D,12
47263,6042D,3885B,8,9601J,3885D,18
47264,69686F,69686C,10,14144A,69686B,17
47265,9601A,69686D,17,9601J,6042C,9
47266,99766D,99766A,17,99766C,3885A,4
47267,6042A,46535K,18,14144B,9601C,5
47268,14144A,3885D,13,3885C,6042B,10
47269,99766A,6042B,8,99766D,3885A,18
47270,14144A,69686B,17,69686F,6042A,7
47271,69686D,9601C,9,14144B,6042C,13
47272,3885B,3885D,13,99766C,3885C,18
47273,69686C,46535K,30,6042D,9601J,1
47274,6042B,69686B,10,9601A,69686D,12
47275,3885A,3885C,19,69686C,99766D,18
47276,6042C,69686F,8,99766A,46535K,22
47277,9601J,14144B,3,9601A,3885D,17
47278,6042D,99766C,11,14144A,3885B,10
47279,6042A,99766A,16,9601C,6042B,5
47280,14144B,3885A,11,6042D,99766C,14
47281,99766D,69686F,4,9601C,3885D,22
47282,9601A,3885B,7,46535K,6042A,18
47283,14144A,9601J,7,69686D,69686C,19
47284,3885C,46535K,12,69686B,6042C,6
47285,3885B,69686F,14,6042B,14144B,5
47286,9601C,99766C,8,69686B,69686C,21
47287,9601A,6042D,8,99766D,6042C,14
47288,69686D,6042A,8,3885D,3885A,28
47289,99766A,14144A,19,9601J,3885C,14
47290,14144A,6042B,10,6042C,6042D,14
47291,9601C,69686F,12,9601A,6042A,7
47292,6042C,6042D,2,46535K,3885D,28
47293,99766C,99766D,10,3885A,99766A,17
47294,9601C,69686F,5,69686C,69686B,23
47295,69686D,14144B,8,3885C,3885B,28
47296,3885A,99766A,9,46535K,3885D,26
47297,3885C,3885B,22,69686C,69686B,8
47298,3885C,3885B,10,46535K,3885D,24
47299,817E,9228A,5,3715H,2442C,17
47300,2442A,817F,4,2442B,2442E,18
47301,4344A,4716A,18,3715F,10102X,5
47302,817B,3715R,11,4344H,64345A,8
47303,2713A,9228B,6,375X,4344B,17
47304,64345A,3715H,11,4344A,2442E,17
47305,375X,10102X,6,2442A,817E,16
47306,9228B,2442C,12,3715R,817F,4
47307,2442B,3715F,12,2713A,817B,13
47308,4344B,4344H,10,9228A,4716A,21
47309,2442E,375X,22,3715R,3715F,3
47310,817E,817F,6,64345A,2713A,19
47311,9228A,4716A,9,9228B,2442A,20
47312,2442C,817B,15,4344B,4344A,10
47313,10102X,4344H,8,2442B,3715H,18
47314,4344B,64345A,14,2442A,3715R,14
47315,3715F,4344A,5,9228B,817E,15
47316,817B,9228A,7,817F,10102X,16
47317,2442B,375X,19,2442C,4344H,13
47318,2713A,3715H,4,4716A,2442E,19
47319,817F,3715F,4,9228A,64345A,18
47320,2442E,817E,12,4344B,4344H,10
47321,2442A,3715H,5,817B,375X,22
47322,9228B,2442B,16,2713A,4344A,9
47323,3715R,10102X,5,4716A,2442C,25
47324,4344B,4344A,9,375X,817F,14
47325,4344H,2442E,24,817B,9228B,10
47326,3715R,2713A,5,9228A,10102X,16
47327,2442A,2442C,21,3715H,3715F,5
47328,4716A,64345A,21,2442B,817E,20
47329,4344H,375X,21,3715F,9228A,5
47330,817F,4716A,15,4344B,3715H,0
47331,2442C,817B,28,817E,2713A,5
47332,2442B,4344A,25,3715R,2442A,5
47333,10102X,64345A,13,9228B,2442E,8
47334,2442A,2713A,18,4344H,817F,6
47335,9228A,2442E,13,4344A,2442C,8
47336,3715R,817E,4,3715H,9228B,11
47337,4716A,817B,5,64345A,375X,20
47338,3715F,4344B,7,10102X,2442B,23
47339,4344B,4344H,8,2442E,375X,17
47340,817B,9228A,11,64345A,2442A,17
47341,2713A,817E,2,2442B,2442C,32
47342,10102X,817F,4,4716A,9228B,17
47343,64345A,2442A,9,2442E,375X,18
47344,4716A,9228B,13,2442B,2442C,16
47345,2442B,2442C,20,2442E,375X,10
47346,3211X,739D,12,6793B,843H,23
47347,739C,9210A,11,98377E,739A,15
47348,1535Y,98377A,19,98377B,9210B,8
47349,739B,9210G,4,6793G,6793A,22
47350,843H,98377E,19,9210C,1535Y,8
47351,9210B,6793B,14,739C,739B,10
47352,98377A,9210C,15,3211X,739D,10
47353,98377B,739A,8,9210G,6793G,10
47354,9210B,9210C,6,9210A,6793A,19
47355,739A,843H,19,98377A,739B,2
47356,6793A,739D,13,9210A,98377B,13
47357,739C,1535Y,13,3211X,9210G,6
47358,6793G,739A,13,98377E,6793B,5
47359,739B,98377B,21,9210C,739C,8
47360,3211X,6793G,12,843H,9210B,14
47361,6793B,9210G,2,98377A,9210A,23
47362,98377E,6793A,17,1535Y,739D,14
47363,9210A,843H,14,739C,6793G,14
47364,9210G,6793A,14,6793B,9210C,8
47365,3211X,1535Y,15,739A,9210B,12
47366,739B,739D,15,98377A,98377E,17
47367,1535Y,9210G,8,98377B,843H,13
47368,98377A,98377E,12,6793A,9210B,21
47369,98377B,9210A,15,3211X,739B,15
47370,6793B,739C,8,739D,739A,19
47371,6793G,98377A,17,1535Y,9210C,13
47372,9210B,9210A,17,98377E,9210G,6
47373,739A,739B,14,3211X,6793A,15
47374,9210C,98377B,9,843H,6793B,22
47375,6793G,9210B,12,739D,739C,9
47376,9210A,6793B,8,1535Y,739B,16
47377,98377E,3211X,10,6793G,98377B,19
47378,739D,9210C,6,9210G,739A,12
47379,739C,843H,12,98377A,6793A,14
47380,739C,739D,12,6793A,843H,13
47381,1535Y,3211X,11,9210B,739A,12
47382,9210G,739B,13,6793G,98377B,12
47383,98377E,6793B,9,98377A,9210A,15
47384,9210B,739A,7,6793A,843H,24
47385,98377A,9210A,20,9210G,739B,13
47386,98377A,9210A,16,6793A,843H,16
47387,98377A,9210A,18,6793A,843H,10
47388,1778C,5106E,11,4886A,41915B,11
47389,134X,134A,10,3773U,1778B,9
47390,241C,40B,17,4886B,5106C,14
47391,1778E,134C,14,241B,241E,9
47392,134M,30048X,17,241F,30048B,10
47393,41915A,1778A,9,134E,4886T,10
47394,5106A,30048A,8,1778D,134K,12
47395,241A,8232Y,5,134G,1778F,21
47396,134J,5106E,17,134F,241D,9
47397,3773U,4886A,13,41915A,30048X,8
47398,134E,241F,8,1778C,134X,13
47399,41915B,5106C,12,134M,8232Y,15
47400,134F,134G,11,241B,134A,9
47401,134K,241D,20,40B,241E,6
47402,5106A,4886B,11,241A,1778E,11
47403,30048B,1778F,8,4886T,241C,14
47404,1778B,1778D,6,134J,134C,26
47405,241E,30048X,12,1778A,30048A,7
47406,134X,134F,10,5106A,5106C,9
47407,134M,134G,15,5106E,1778E,15
47408,241C,1778B,16,41915A,134K,7
47409,30048A,41915B,8,1778F,40B,10
47410,4886A,241B,13,241D,1778A,14
47411,241A,3773U,12,241F,134J,18
47412,4886T,1778D,6,1778C,8232Y,13
47413,134E,134C,14,134A,4886B,10
47414,5106E,241B,24,30048B,1778B,5
47415,134J,1778E,14,241C,30048X,14
47416,1778A,40B,7,134M,5106A,16
47417,1778C,5106C,17,134A,1778F,12
47418,30048A,8232Y,16,134F,3773U,10
47419,41915A,241E,10,134X,1778D,12
47420,134K,4886B,8,4886A,134G,18
47421,30048B,241A,12,41915B,134E,7
47422,241D,4886T,11,241F,134C,15
47423,1778F,241B,14,30048X,134X,14
47424,1778A,5106C,9,1778D,3773U,12
47425,241C,241E,10,5106E,134E,7
47426,241F,1778E,11,134K,8232Y,22
47427,134A,134M,11,30048A,134J,9
47428,4886A,134C,11,241A,40B,12
47429,134F,41915B,10,41915A,4886B,8
47430,1778C,241D,9,5106A,30048B,10
47431,4886T,241E,12,134G,1778B,21
47432,1778F,241F,13,1778A,5106E,17
47433,134X,134C,27,30048A,241C,3
47434,134K,134J,12,41915B,241B,22
47435,40B,134A,10,41915A,4886T,6
47436,1778D,4886A,16,134F,1778E,7
47437,1778B,241D,8,5106C,241A,16
47438,3773U,4886B,15,1778C,134M,8
47439,134G,30048X,23,5106A,134E,5
47440,134J,41915A,9,30048B,8232Y,21
47441,1778E,41915B,1,241D,134X,22
47442,241B,4886T,16,30048A,4886B,9
47443,5106A,5106E,16,134C,3773U,16
47444,8232Y,40B,15,30048X,1778B,7
47445,134M,134E,8,1778F,134F,10
47446,241A,1778C,13,134K,1778A,6
47447,241C,134G,19,1778D,241F,12
47448,30048B,134A,12,4886A,241E,11
47449,41915A,30048A,9,5106C,1778E,20
47450,134F,4886A,16,30048B,134K,7
47451,4886T,4886B,9,134M,5106C,25
47452,241B,3773U,10,30048X,134A,13
47453,5106A,30048A,11,5106E,241A,14
47454,134F,4886A,9,134G,134J,17
47455,134M,5106C,9,40B,241D,18
47456,30048X,134A,10,134X,134C,26
47457,5106E,241A,3,8232Y,241C,23
47458,40B,241D,7,134G,134J,15
47459,8232Y,241C,19,134X,134C,11
47460,8232Y,241C,16,134G,134J,15
47461,1275E,1320E,7,1282C,1320D,17
47462,1320B,1320C,26,675A,98881A,7
47463,1264A,4207B,3,1320A,1275D,28
47464,4207A,1275B,20,1199B,1282B,5
47465,1320D,1264C,17,1275E,1199A,11
47466,1275B,1320C,10,1275A,4207B,16
47467,1282B,675E,13,1264C,1264A,12
47468,1275A,1320D,14,98881D,1320B,12
47469,1320A,1320E,22,4207A,1275E,5
47470,675A,1199A,10,1199B,1275D,10
47471,1264A,1275A,20,98881A,675B,10
47472,675A,675E,3,4207B,1320D,23
47473,98881A,1275D,16,1320E,4207A,19
47474,1199A,1282B,2,1320B,675B,29
47475,1199B,1275E,4,1320C,1320A,23
47476,1264C,1275D,12,98881D,1275B,12
47477,1320A,1320D,9,1275A,1282B,18
47478,4207B,98881A,29,1199A,98881D,2
47479,4207A,1320C,14,675E,1264C,9
47480,1320B,1320E,22,1264A,1199B,7
47481,1275E,675B,10,675A,1275B,15
47482,1275D,675E,3,1320B,1320A,28
47483,1199B,4207A,14,675B,4207B,7
47484,98881D,1282B,7,98881A,1275E,26
47485,675A,1275A,22,1264C,1320E,7
47486,1199A,1264A,7,1320D,1320C,25
47487,98881A,1199B,19,1275B,675E,14
47488,1275A,1275E,26,1275D,1320C,11
47489,1275B,1320B,14,1199A,1320A,18
47490,98881D,675A,10,1264A,4207A,9
47491,1320E,4207B,5,1282B,1320D,24
47492,98881A,1320A,31,675B,1264C,2
47493,1275D,675E,8,1275B,1264A,26
47494,1275B,1264A,3,1275A,1320C,26
47495,675A,675B,5,4207A,98881A,18
47496,1264C,1275E,0,1320D,1320A,34
47497,4207B,98881D,5,1320B,1320E,24
47498,4207A,98881A,7,1275A,1320C,22
47499,1320B,1320E,11,1320D,1320A,25
47500,1320D,1320A,10,1275A,1320C,24
47501,3690H,35068B,12,3690A,3690F,20
47502,48327G,3690A,12,48327T,48327M,18
47503,48327T,3690F,16,48327G,3690H,3
47504,3690F,3690H,16,35068B,48327M,13
47505,48327M,3690A,5,35068B,48327G,21
47506,3690F,3690A,16,48327T,3690H,13
47507,48327T,48327M,8,35068B,48327G,17
47508,48327G,48327T,14,3690A,48327M,5
47509,35068B,48327G,18,3690H,3690F,6
47510,48327M,3690H,8,48327T,3690F,13
47511,3690F,48327M,8,35068B,3690A,24
47512,48327G,35068B,24,3690A,3690H,8
47513,3690A,3690F,18,48327T,48327G,11
47514,35068B,48327T,10,3690H,48327M,15
47515,3690A,3690H,9,35068B,48327T,20
47516,48327G,48327T,22,3690F,48327M,9
47517,48327M,3690F,16,48327G,3690A,9
47518,48327M,48327T,24,35068B,3690H,10
47519,3690H,48327G,18,3690F,3690A,14
47520,35068B,3690A,20,48327M,3690F,13
47521,3690H,35068B,4,48327T,48327G,25
47522,35068B,48327G,23,48327T,3690A,4
47523,48327M,48327T,18,3690H,3690F,13
47524,48327T,48327M,15,48327G,35068B,12
47525,48327T,48327M,15,48327G,35068B,12
47526,72853B,967S,2,967A,36587A,24
47527,7776A,47460R,21,11607A,967Z,18
47528,72936W,99402B,11,72936N,11607B,12
47529,7776A,967A,14,99402C,72936W,19
47530,967Z,99402C,30,967S,99402B,3
47531,72936N,36587A,7,47460R,11607B,26
47532,99402C,72936W,15,72853B,11607A,8
47533,967Z,967S,12,47460R,72936N,22
47534,11607B,36587A,13,7776A,72853B,15
47535,11607A,72936N,5,967A,99402B,22
47536,99402B,967A,14,11607B,99402C,23
47537,72853B,47460R,25,967S,7776A,5
47538,36587A,11607A,8,967Z,72936W,18
47539,967Z,72936N,14,967A,72853B,10
47540,99402B,47460R,23,36587A,72936W,6
47541,11607B,11607A,10,99402C,967S,27
47542,99402C,36587A,15,7776A,72936N,4
47543,72853B,7776A,14,99402B,11607A,21
47544,72936W,967S,4,967A,47460R,37
47545,72936W,72853B,13,967Z,11607B,21
47546,99402C,967Z,18,36587A,99402B,8
47547,11607B,967A,20,11607A,47460R,11
47548,967S,72936W,11,72936N,7776A,21
47549,11607A,99402B,17,967S,36587A,7
47550,967A,7776A,15,11607B,967Z,12
47551,47460R,72936N,10,72853B,99402C,22
47552,72936N,967S,6,99402B,11607A,22
47553,72853B,72936W,6,11607B,7776A,13
47554,99402B,11607A,1,99402C,967A,25
47555,11607B,7776A,15,47460R,967Z,15
47556,11607B,7776A,10,47460R,967Z,21
47557,47460R,967Z,17,99402C,967A,17
47558,47460R,967Z,15,99402C,967A,12
47559,42700B,359A,21,2443A,1037A,13
47560,808A,2443S,7,1037C,2169A,23
47561,5777Y,5777K,4,2477Z,2477Y,28
47562,359D,2459B,5,1037B,2443M,27
47563,1037C,359A,26,2443B,5777Y,1
47564,2443M,2443A,21,808A,2459B,1
47565,2477Y,1037A,18,42700B,1037B,16
47566,2477Z,2443S,14,5777K,359D,18
47567,808A,42700B,19,2169A,2443B,10
47568,5777Y,5777K,6,1037C,2459B,17
47569,2169A,2477Y,14,359D,1037A,22
47570,2443A,1037B,26,2443S,2477Z,3
47571,2443B,5777K,4,359A,2443M,23
47572,2169A,1037B,24,2443A,5777Y,9
47573,2477Y,2443B,14,2443S,808A,11
47574,2459B,2477Z,0,359A,42700B,37
47575,359D,2443M,6,1037A,1037C,30
47576,2169A,2443A,22,5777K,2477Y,12
47577,2443S,1037C,9,359D,42700B,15
47578,1037A,2443B,8,2459B,1037B,15
47579,2443M,2477Z,24,5777Y,808A,4
47580,359D,1037B,13,359A,2169A,24
47581,42700B,2459B,9,5777K,2443A,15
47582,1037A,5777Y,28,2443S,2443B,6
47583,1037C,2477Y,21,2443M,2477Z,6
47584,5777K,1037A,17,808A,359A,15
47585,2169A,5777Y,16,42700B,2443M,10
47586,359A,2443S,15,2477Y,2459B,13
47587,359D,2443B,5,2443A,2477Z,27
47588,808A,5777K,10,1037C,1037B,12
47589,2477Z,2459B,7,2169A,1037A,31
47590,2443A,1037C,22,2477Y,2443B,9
47591,359A,808A,23,5777Y,359D,9
47592,2443M,42700B,8,2443S,1037B,21
47593,2443S,2443B,1,359A,1037A,39
47594,2477Y,2477Z,15,2443M,42700B,15
47595,2477Y,2477Z,5,2443M,42700B,17
47596,808A,5777Y,0,1037C,1037B,32
47597,359D,5777K,4,2169A,2443A,27
47598,2443M,42700B,4,359A,1037A,26
47599,2169A,2443A,6,1037C,1037B,26
47600,1037C,1037B,9,359A,1037A,18
47601,1037C,1037B,18,359A,1037A,16
47602,1037C,1037B,20,359A,1037A,14
47603,3110A,3116D,8,3116A,8346B,14
47604,3116C,3116A,23,3110A,8346A,10
47605,3116E,3116S,17,3116D,8734X,6
47606,3116A,3116E,14,8346B,3116C,9
47607,8346B,8734X,8,8346A,3116D,10
47608,8346A,3110A,5,3116E,3116S,20
47609,3116D,3110A,9,8346B,3116S,14
47610,3116C,3116S,16,8734X,3116A,8
47611,3116D,8346A,9,3110A,3116A,23
47612,8734X,8346B,10,3116C,3116E,15
47613,3110A,8346B,13,8346A,3116E,15
47614,3116S,3116C,26,3116A,3116D,10
47615,3116E,3110A,8,8734X,3116C,15
47616,8734X,3116D,4,3116S,8346A,17
47617,3116A,3116S,22,8346B,3110A,11
47618,3116E,3116A,13,8346B,3116D,10
47619,8346A,3116S,15,3116C,8734X,13
47620,3116C,8346B,11,3110A,8734X,12
47621,8346A,3116D,4,3116E,3116A,15
47622,8346B,3116D,9,3116C,3110A,23
47623,3116A,8734X,11,3116S,3116E,20
47624,3116E,3116C,13,8346A,3116D,9
47625,8734X,8346A,8,8346B,3116A,20
47626,3116C,3116D,11,3116S,3110A,11
47627,3116S,3116A,20,3116E,8346B,2
47628,3110A,3116A,19,8346A,8734X,15
47629,8346A,8346B,0,3116S,3116A,33
47630,3110A,8734X,10,3116E,3116C,18
47631,3116E,3116C,11,3116S,3116A,17
47632,89999A,6194B,12,99490A,54889A,19
47633,2424B,96498B,23,6194C,97230E,6
47634,97230D,6194A,16,97230C,2424A,12
47635,52050A,73819A,15,1002A,8040A,9
47636,6194D,2424C,2,1124A,97230B,27
47637,6194E,97230A,3,96498A,1002B,24
47638,6194C,8040A,2,97230C,54889A,27
47639,1124A,99490A,36,73819A,2424B,0
47640,96498A,1002A,20,6194D,96498B,6
47641,97230B,1002B,18,97230D,89999A,14
47642,97230E,2424A,4,52050A,97230A,23
47643,2424C,6194B,19,6194E,6194A,13
47644,97230C,6194D,22,89999A,2424B,13
47645,2424A,1002A,9,1124A,6194C,27
47646,8040A,97230E,10,6194E,99490A,21
47647,6194A,96498A,7,97230B,73819A,16
47648,1002B,52050A,18,6194B,96498B,13
47649,54889A,97230A,18,2424C,97230D,10
47650,73819A,6194E,11,2424A,89999A,11
47651,1124A,96498B,26,6194A,8040A,10
47652,97230B,99490A,25,97230A,1002A,14
47653,54889A,2424B,4,52050A,96498A,26
47654,97230D,6194C,14,6194B,6194D,9
47655,1002B,97230C,21,2424C,97230E,11
47656,96498B,6194E,14,54889A,97230B,15
47657,6194A,52050A,13,99490A,6194C,15
47658,97230A,73819A,17,97230C,6194B,16
47659,89999A,1124A,20,97230E,96498A,7
47660,97230D,1002A,20,2424B,2424C,5
47661,6194D,2424A,8,1002B,8040A,13
47662,97230C,52050A,5,6194E,1124A,22
47663,6194C,89999A,8,96498B,97230A,12
47664,6194A,54889A,8,1002B,1002A,21
47665,97230E,73819A,5,97230D,6194D,26
47666,6194B,8040A,11,2424B,97230B,19
47667,2424C,99490A,12,2424A,96498A,6
47668,6194C,6194D,14,97230B,97230D,19
47669,97230A,97230C,21,54889A,52050A,5
47670,96498B,1002A,10,1124A,99490A,22
47671,73819A,6194A,12,1002B,96498A,22
47672,97230A,97230C,11,97230B,97230D,17
47673,1002B,96498A,9,1124A,99490A,23
47674,1124A,99490A,27,97230B,97230D,5
47675,9078A,21246W,21,3686B,8838E,10
47676,97835C,9078X,10,8838D,7700A,12
47677,3686A,7700E,13,8838B,97835A,5
47678,3686C,7700B,9,21246X,8838C,20
47679,3324A,3686B,11,2888A,97835B,24
47680,7700A,21246W,20,3686A,7700E,11
47681,2888A,97835B,25,3686C,8838E,8
47682,8838C,3686C,16,21246W,97835A,17
47683,97835C,9078A,8,9078X,7700E,10
47684,7700A,21246X,12,7700B,3686B,19
47685,8838B,21246X,11,9078X,3686B,9
47686,8838D,8838C,8,7700E,3686C,22
47687,7700A,97835C,11,9078A,3324A,16
47688,7700B,97835A,11,21246W,2888A,25
47689,9078A,8838E,14,8838C,97835C,11
47690,9078X,7700E,13,97835B,97835A,9
47691,3686B,2888A,17,8838D,3686A,6
47692,3324A,8838E,9,21246X,7700A,12
47693,7700B,3686C,16,21246W,8838B,14
47694,8838C,97835C,1,2888A,3686A,27
47695,9078A,7700E,16,21246X,97835B,16
47696,8838D,8838E,17,97835A,8838B,5
47697,9078X,3686C,8,21246W,3324A,17
47698,3686B,8838D,12,7700B,7700A,10
47699,3324A,8838B,3,8838C,7700E,21
47700,97835B,3686A,8,7700B,8838E,10
47701,2888A,21246W,29,97835C,9078X,6
47702,97835A,7700A,4,3686C,3686B,20
47703,8838D,21246W,13,21246X,9078A,20
47704,3686B,8838C,15,97835A,3324A,6
47705,21246X,8838E,19,9078X,3686A,10
47706,97835B,8838B,8,3686C,97835C,17
47707,7700B,2888A,12,7700E,9078A,16
47708,8838C,97835B,13,7700A,21246W,13
47709,97835C,7700E,9,8838E,3686B,14
47710,9078A,3686A,10,97835A,3686C,11
47711,7700A,21246X,5,2888A,8838B,22
47712,9078X,3324A,11,7700B,8838D,18
47713,3686A,97835C,6,2888A,21246W,20
47714,3686C,8838C,24,3686B,8838E,8
47715,97835B,3324A,14,9078A,21246X,16
47716,7700B,7700A,14,7700E,8838D,13
47717,3686C,8838C,14,2888A,21246W,16
47718,7700B,7700A,6,9078A,21246X,26
47719,9078A,21246X,13,2888A,21246W,20
47720,550X,6260X,13,99969A,6260A,12
47721,550G,550E,7,59321A,54374C,17
47722,6260X,4100A,13,550B,54374B,14
47723,54374B,4100C,12,727A,99969B,12
47724,54374D,550Z,15,550C,54374A,10
47725,550B,4100A,15,4100B,54374C,8
47726,99969A,550A,18,3131V,550D,16
47727,6260A,6260X,11,550G,550E,16
47728,727A,3131B,0,550B,1533M,26
47729,54374A,910X,10,99969B,3131V,8
47730,550C,54374C,18,54374B,550X,7
47731,59321A,4100B,4,4100C,54374D,21
47732,727A,99969A,8,4100A,550Z,19
47733,550D,550E,9,6260A,550C,17
47734,550B,59321A,2,6260X,910X,21
47735,4100B,550X,14,550A,54374A,17
47736,3131V,4100C,12,3131B,4100A,15
47737,99969B,1533M,13,550Z,550G,11
47738,54374D,910X,21,54374B,54374C,8
47739,550C,4100A,22,6260X,550A,14
47740,59321A,99969B,8,727A,550X,23
47741,550G,3131V,23,54374D,550B,11
47742,54374C,550Z,18,550D,3131B,15
47743,1533M,6260A,23,54374A,4100C,8
47744,54374B,99969A,15,4100B,550E,10
47745,550D,6260X,10,54374D,727A,14
47746,4100A,550X,11,550G,910X,19
47747,550B,550C,12,99969A,99969B,8
47748,3131B,6260A,8,59321A,54374B,21
47749,3131V,550Z,17,4100B,550E,15
47750,550A,4100C,10,1533M,54374C,21
47751,3131B,54374A,8,99969A,550G,19
47752,54374D,99969B,11,4100A,6260A,11
47753,1533M,54374B,16,3131V,6260X,15
47754,4100C,550B,7,550X,550D,25
47755,910X,4100B,21,550C,727A,9
47756,54374A,54374C,13,59321A,550E,6
47757,6260A,550B,8,550A,550Z,23
47758,99969A,99969B,15,550B,550D,12
47759,4100C,4100B,7,54374C,6260A,13
47760,54374A,727A,7,550A,3131V,24
47761,3131B,59321A,9,54374B,6260X,13
47762,99969A,99969B,2,1533M,910X,23
47763,54374C,6260A,6,54374D,550C,11
47764,550A,3131V,20,550Z,550X,9
47765,54374B,6260X,5,4100A,550G,26
47766,54374D,550C,7,1533M,910X,27
47767,4100A,550G,16,550A,3131V,15
47768,4100A,550G,5,1533M,910X,24
47769,59C,7121A,6,77788J,11342A,14
47770,4154A,33172A,6,77788Y,33172D,19
47771,18906S,6293A,6,77788C,6293B,12
47772,2580A,33157B,13,94Y,33305E,15
47773,4330M,4411W,17,77788G,94X,6
47774,33157G,59G,8,4154B,4330P,16
47775,16269A,7121E,11,94Z,91104B,12
