,blue1,blue2,bluescore,red1,red2,redscore
347,3264Z,72726A,12,2011B,2894B,18
348,98575E,3264R,10,2011A,2011G,15
349,2011C,4805F,18,6978B,2011E,11
350,45260A,3264A,13,6390N,6390G,9
351,98575D,6390W,11,98575A,6978J,8
352,2894B,3264R,14,98575C,4805X,19
353,2011D,45260B,18,44833B,4805F,6
354,6978B,2011A,17,6390N,96024E,5
355,2011G,98575F,13,3264Z,44817A,14
356,6390X,6390K,9,3264E,6978R,22
357,2011B,3264D,22,6390Y,2011F,13
358,98575B,6390A,8,98575E,2011C,26
359,6978J,2011E,9,3264R,72726A,17
360,98575D,4805F,14,6978R,98575F,8
361,2011A,2011F,19,3264A,2894B,11
362,44817A,6978B,7,2011B,45260A,24
363,3264Z,44833B,17,2011E,6390Y,16
364,2011G,98575A,5,3264E,2011D,30
365,2011C,45260B,21,4805X,6390W,12
366,96024E,6390K,14,98575E,6390G,7
367,6390X,98575C,0,98575B,3264D,31
368,6390N,98575D,6,72726A,6390A,18
369,44833B,6978R,17,2011G,6978J,11
370,98575E,6390Y,10,3264A,6978B,15
371,2011D,98575B,4,3264Z,2011A,18
372,3264E,44817A,21,98575C,6390A,6
373,6390G,98575F,7,45260B,98575A,14
374,6390W,2894B,7,4805F,96024E,27
375,2011F,6390N,21,6390K,3264R,15
376,72726A,2011C,25,45260A,3264D,10
377,4805X,2011B,25,6390X,2011E,11
378,2011A,98575C,19,45260B,6978R,7
379,4805F,44817A,28,6978J,98575B,7
380,96024E,3264R,13,98575D,2011C,21
381,3264Z,3264A,11,98575A,6390K,19
382,6390G,3264E,15,2011F,72726A,20
383,6390A,6390Y,0,45260A,4805X,27
384,6390N,98575F,7,44833B,3264D,22
385,2894B,2011G,16,6390X,6978B,13
386,2011B,6390W,11,98575E,2011D,24
387,2011E,45260B,7,3264E,96024E,29
388,98575C,3264R,3,2011A,2011D,33
389,6978R,6978J,21,3264Z,44833B,7
390,2894B,96024E,0,2011B,2011F,27
391,45260A,3264A,8,3264D,72726A,24
392,6390W,6390G,5,2011C,2011G,25
393,98575D,44817A,8,45260B,6390K,14
394,6978B,98575E,4,4805F,2011E,35
395,98575A,98575B,4,3264E,4805X,27
396,6978R,6978J,1,2011A,2011D,25
397,3264D,72726A,1,2011B,2011F,29
398,45260B,6390K,2,2011C,2011G,33
399,3264E,4805X,9,4805F,2011E,18
400,2011B,2011F,8,2011A,2011D,18
401,4805F,2011E,6,2011C,2011G,26
402,2011C,2011G,22,2011A,2011D,2
403,8636X,8106A,5,99197M,3388H,15
404,3388A,306K,13,3388B,9409C,23
405,5760B,3388E,18,8106B,890N,5
406,5760C,3424J,13,6659A,5760D,10
407,3388X,8106C,17,6659C,9409X,15
408,9409Z,306X,28,99197G,9411M,5
409,99197W,3424H,20,3388D,306Z,6
410,9411S,3388S,3,5760A,9409B,29
411,210X,221B,15,3388C,221A,19
412,43533A,8636T,9,890M,306B,20
413,221S,99197H,19,6659D,45437A,5
414,45437B,99197M,11,6659B,306A,14
415,9409B,3388H,9,9409Z,3388A,24
416,9411M,8106B,7,9411S,3388D,16
417,9409C,6659C,24,3388S,99197W,8
418,6659D,306Z,16,43533A,5760C,16
419,306B,5760D,18,221S,306K,13
420,6659B,890M,9,3424H,221B,22
421,3388C,99197H,9,3388E,8636X,17
422,6659A,45437A,5,45437B,3388X,18
423,890N,3388B,10,8636T,8106A,17
424,5760A,221A,23,3424J,5760B,3
425,9409X,306A,19,99197G,210X,15
426,3424H,99197M,8,8106C,306X,21
427,890M,6659A,1,99197W,3388C,29
428,3388D,9409B,8,9409C,221B,31
429,890N,306B,9,8636X,9409Z,26
430,9409X,8106A,21,3388S,3388A,7
431,8106C,6659D,17,6659B,3424J,17
432,99197G,306K,19,306Z,3388X,7
433,8636T,5760A,7,9411M,306A,27
434,6659C,8106B,3,3388H,221S,20
435,9411S,5760D,15,43533A,221A,4
436,5760C,3388E,17,45437A,306X,6
437,3388B,5760B,15,210X,45437B,9
438,3388A,3424H,22,99197H,8636T,10
439,9409Z,99197W,24,6659D,5760A,11
440,221A,9409C,23,890M,99197G,9
441,6659A,9409X,22,8106B,306B,7
442,9411S,306K,14,6659C,8106A,17
443,45437A,5760D,8,99197M,3388B,13
444,306A,3388C,20,9409B,890N,9
445,306X,221B,14,99197H,5760B,16
446,3388S,43533A,18,45437B,3388D,14
447,221S,8636X,28,8106C,306Z,6
448,3388H,210X,24,3388E,3424J,4
449,3388X,6659B,17,5760C,9411M,12
450,306B,99197G,3,9409C,9409B,25
451,5760B,221B,8,3388X,8106A,28
452,5760C,5760D,15,3388B,3388H,13
453,6659B,8106C,13,3388C,221A,20
454,5760A,99197H,3,9409Z,3388A,28
455,221S,9411S,18,3388E,8636X,13
456,6659C,306X,6,306A,9409X,18
457,99197W,99197M,33,3424H,45437A,6
458,3388X,8106A,9,9409C,9409B,28
459,3388C,221A,11,5760C,5760D,15
460,221S,9411S,10,9409Z,3388A,26
461,99197W,99197M,16,306A,9409X,18
462,5760C,5760D,13,9409C,9409B,23
463,306A,9409X,8,9409Z,3388A,24
464,9409Z,3388A,12,9409C,9409B,24
465,33305T,1391B,11,61300C,91104C,11
466,7121E,7121B,30,7121F,63724A,2
467,11476B,503B,17,49940A,9393C,8
468,7121C,4154A,9,4330P,4330X,22
469,503C,7121A,8,61300B,4330R,27
470,4411S,89798B,34,503A,9393B,5
471,4411W,7121G,15,33305E,7121D,10
472,1391A,4154B,33,61300D,9393A,4
473,63724A,33305T,13,11476A,503B,18
474,503C,61300C,10,4154A,89798B,21
475,7121F,1391B,6,4411S,7121A,21
476,503A,4330P,20,4411W,91104C,14
477,9393C,4330X,10,33305E,9393A,13
478,61300B,61300D,23,9393B,11476B,9
479,7121C,1391A,9,7121G,7121B,25
480,4330R,7121D,3,11476A,7121E,34
481,63724A,4330P,12,49940A,4154B,16
482,61300D,4330X,17,503B,1391B,12
483,7121G,4411S,22,33305T,11476B,9
484,33305E,7121E,18,1391A,503A,15
485,61300C,7121A,0,9393C,4154B,31
486,49940A,4411W,6,61300B,89798B,25
487,9393B,7121B,7,4330R,4154A,18
488,9393A,11476A,14,7121C,91104C,16
489,7121D,61300D,20,503C,7121F,17
490,503A,11476B,20,63724A,7121A,10
491,9393B,7121E,22,4411W,33305T,8
492,11476A,9393A,12,7121G,4154A,19
493,503B,61300B,31,7121B,61300C,8
494,7121F,49940A,11,1391A,4330X,17
495,91104C,4330R,0,4154B,4411S,32
496,89798B,9393C,0,7121D,4330P,35
497,33305E,1391B,8,7121C,503C,25
498,61300C,49940A,8,7121E,61300D,19
499,91104C,7121G,9,7121A,4330X,21
500,1391A,11476A,7,7121F,61300B,27
501,503A,33305T,22,503C,9393C,15
502,89798B,9393A,8,4330R,33305E,13
503,4411S,4411W,35,7121C,9393B,1
504,4330P,11476B,15,1391B,7121B,9
505,4154A,4154B,13,7121D,503B,22
506,33305E,91104C,10,63724A,49940A,21
507,61300D,4330R,22,503A,61300C,5
508,1391A,33305T,16,4330P,9393A,20
509,503C,7121B,16,11476A,4411W,22
510,4154B,7121G,32,1391B,89798B,9
511,7121C,503B,6,4411S,7121E,26
512,61300B,63724A,20,9393C,4154A,1
513,7121D,7121A,8,4330X,9393B,12
514,89798B,91104C,8,11476B,7121F,31
515,4411W,503B,18,61300D,7121G,14
516,503A,4154B,6,61300B,7121C,25
517,4330X,7121E,26,4330P,4330R,4
518,7121D,61300C,18,1391A,11476B,7
519,9393B,1391B,0,11476A,63724A,31
520,9393A,7121A,9,7121B,49940A,17
